company,trade_symbol,analysis_symbol,baseline_rating,baseline_date,latest_price_date,close,pct_1d,pct_5d,pct_20d,rsi_14,volume_ratio_20d,vs_sma_50,vs_sma_200,triggers,priority,log_path,error
Super Micro Computer,GETTEX:MS51,SMCI,BUY,2026-05-19,2026-05-19,29.757999420166016,-3.539711338090057,-9.246725863693273,4.671118891083759,58.769513788530844,0.16456280948797686,7.3204981535000435,-18.1985779055162,1D MOVE -3.5%; 5D MOVE -9.2%,38,results/SMCI/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Vistra,GETTEX:0V6,VST,SELL,2026-05-19,2026-05-19,133.3300018310547,-2.500912737802785,-9.219032979016074,-13.930670273641665,28.846169622398733,0.32709566050917127,-14.08796180059958,-23.64100260934856,5D MOVE -9.2%; RSI LOW 29,34,results/VST/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Eaton,GETTEX:3EC,ETN,BUY,2026-05-19,2026-05-19,369.0151062011719,-3.3662998089364793,-8.097749278254296,-9.681505569294169,37.38595878766928,0.22371834257520848,-4.7500520094625465,2.006038050435821,1D MOVE -3.4%; 5D MOVE -8.1%,38,results/ETN/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
NRG Energy,GETTEX:NRA,NRG,BUY,2026-05-19,2026-05-19,122.18499755859375,-2.6414362082918363,-11.034657917138569,-18.217549564712943,26.00538709319116,0.1632213283561672,-18.976686386688268,-22.52911033609417,5D MOVE -11.0%; RSI LOW 26,26,results/NRG/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Hubbell,GETTEX:HUEC,HUBB,HOLD,2026-05-19,2026-05-19,461.3699951171875,-2.0175420176508974,-5.063997553972022,-15.978582173879118,7.812800699632888,0.08706542308142708,-8.639858450269033,-0.7893029715637656,RSI LOW 8,12,results/HUBB/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
nVent Electric,NYSE:NVT,NVT,BUY,2026-05-19,2026-05-19,153.17999267578125,-4.6736011273404765,-10.284650493399372,11.97492533650857,60.655068429026194,0.32280037548296603,12.336410447224711,37.58021799646614,1D MOVE -4.7%; 5D MOVE -10.3%,38,results/NVT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Vertiv,GETTEX:49V,VRT,HOLD,2026-05-19,2026-05-19,315.7699890136719,-7.052665704479222,-13.989599102785045,1.065800328461508,52.81479088883598,0.39649268132436255,5.388016907527526,54.113640901436575,1D MOVE -7.1%; 5D MOVE -14.0%,42,results/VRT/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Teradyne,GETTEX:TEY,TER,HOLD,2026-05-19,2026-05-19,312.69500732421875,-2.602392395709341,-12.764682194064381,-17.696677453137642,51.61700523643339,0.2037180966840835,-7.59240578599446,39.22432210952882,5D MOVE -12.8%,22,results/TER/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
Quanta Services,GETTEX:QAA,PWR,BUY,2026-05-19,2026-05-19,694.6799926757812,-3.921004034737441,-9.288205313272913,14.654471253972279,59.480632068408404,0.34050458137786715,10.271316763343696,42.05119170340368,1D MOVE -3.9%; 5D MOVE -9.3%,38,results/PWR/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
GE Vernova,GETTEX:Y5C,GEV,BUY,2026-05-19,2026-05-19,991.8150024414062,-2.0187698254970354,-7.4782159637243995,0.051953460585041356,39.69114845013816,0.21002314575508002,1.8157465409682327,35.006097341869214,5D MOVE -7.5%,18,results/GEV/TradingAgentsStrategy_logs/full_states_log_2026-05-19.json,
